datetime,portfolio_value,cash,return
2023-01-03 09:30:00-05:00,100000.0,100000.0,
2023-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2023-01-13 09:30:00-05:00,100471.75289154053,149988.4008255005,0.0047175289154053335
2023-01-14 09:30:00-05:00,100471.75289154053,224949.8327255249,0.0
2023-01-17 09:30:00-05:00,98769.03438568115,224949.8327255249,-0.016947235982808673
2023-01-18 09:30:00-05:00,98551.4294052124,224949.8327255249,-0.002203170070682603
2023-01-19 09:30:00-05:00,100659.43355560303,224949.8327255249,0.021389889148367258
2023-01-20 09:30:00-05:00,94457.83687591553,224949.8327255249,-0.06160969181553977
2023-01-21 09:30:00-05:00,94457.83687591553,224949.8327255249,0.0
2023-01-23 09:30:00-05:00,88862.92912139892,142492.25763549804,-0.059231800553154246
2023-01-24 09:30:00-05:00,88635.70598449706,142492.25763549804,-0.002557007057368499
2023-01-25 09:30:00-05:00,89907.05928649902,142492.25763549804,0.014343579575304855
2023-01-26 09:30:00-05:00,88531.13695373535,213739.85539855956,-0.015303829795824342
2023-01-27 09:30:00-05:00,87550.15151062011,213739.85539855956,-0.011080682761680505
2023-01-28 09:30:00-05:00,87550.15151062011,213739.85539855956,0.0
2023-01-30 09:30:00-05:00,87938.72189941406,213739.85539855956,0.004438260609369804
2023-01-31 09:30:00-05:00,89066.21462097167,213739.85539855956,0.012821345332347134
2023-02-01 09:30:00-05:00,86671.09812011718,213739.85539855956,-0.026891414562155824
2023-02-02 09:30:00-05:00,80475.54381942749,158752.61449050903,-0.07148350990203556
2023-02-03 09:30:00-05:00,80380.25695114136,80380.25695114136,-0.0011840475225608493
2023-02-04 09:30:00-05:00,80380.25695114136,120542.13777999878,0.0
2023-02-06 09:30:00-05:00,80700.3587272644,120542.13777999878,0.003982343280111822
2023-02-07 09:30:00-05:00,80333.69884567261,120542.13777999878,-0.004543472759903855
2023-02-08 09:30:00-05:00,80698.41683273316,120542.13777999878,0.004540037273289332
2023-02-09 09:30:00-05:00,81532.61742477417,120542.13777999878,0.010337260937474113
2023-02-10 09:30:00-05:00,83395.0186088562,120542.13777999878,0.022842406424647965
2023-02-11 09:30:00-05:00,83395.0186088562,120542.13777999878,0.0
2023-02-13 09:30:00-05:00,83678.25695114136,120542.13777999878,0.0033963460529173872
2023-02-14 09:30:00-05:00,83814.05635910034,120542.13777999878,0.0016228756777076914
2023-02-15 09:30:00-05:00,84396.4450340271,84396.4450340271,0.006948579990348147
2023-02-16 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
2023-02-17 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
2023-02-18 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
2023-02-21 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
2023-02-22 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
2023-02-23 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
2023-02-24 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
2023-02-25 09:30:00-05:00,84396.4450340271,84396.4450340271,0.0
