time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-10-27 09:30:00-04:00,MLTrader,0aeb2c57a2f04a63a1c4a57bf43df34f,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-27 09:30:00-04:00,MLTrader,0aeb2c57a2f04a63a1c4a57bf43df34f,GOOG,sell,market,fill,1,gtc,0.0,1,stock,124.02999877929688,1.2280840729273553e+25,0.0
2023-10-30 09:30:00-04:00,MLTrader,97e40fc0518a49d1b440d11f3944bcc7,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-30 09:30:00-04:00,MLTrader,97e40fc0518a49d1b440d11f3944bcc7,GOOG,sell,market,fill,1,gtc,0.0,1,stock,126.2699966430664,1.568187622952179e+25,0.0
2023-10-31 09:30:00-04:00,MLTrader,3b78cd8fb1d5484384bbda540e23a40c,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-31 09:30:00-04:00,MLTrader,3b78cd8fb1d5484384bbda540e23a40c,GOOG,sell,market,fill,1,gtc,0.0,1,stock,125.33999633789062,2.0537702822144755e+25,0.0
2023-11-01 09:30:00-04:00,MLTrader,07e1fa86f4304b2d87234601b5ffc9fa,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-01 09:30:00-04:00,MLTrader,07e1fa86f4304b2d87234601b5ffc9fa,GOOG,sell,market,fill,1,gtc,0.0,1,stock,129.55999755859375,2.5829378963655525e+25,0.0
2023-11-02 09:30:00-04:00,MLTrader,79acc1aa67ae4a7bb2423338cfa3fa16,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,79acc1aa67ae4a7bb2423338cfa3fa16,GOOG,sell,market,fill,1,gtc,0.0,1,stock,129.08999633789062,3.3700446831879197e+25,0.0
2023-11-03 09:30:00-04:00,MLTrader,f90219120b6f47299e29bb26c8d3c065,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTrader,f90219120b6f47299e29bb26c8d3c065,GOOG,sell,market,fill,1,gtc,0.0,1,stock,129.08999633789062,4.381058088144295e+25,0.0
2023-11-06 09:30:00-05:00,MLTrader,5b5302c7ce714783849495babc68553a,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-06 09:30:00-05:00,MLTrader,5b5302c7ce714783849495babc68553a,GOOG,sell,market,fill,1,gtc,0.0,1,stock,130.22000122070312,5.645952982867384e+25,0.0
2023-11-07 09:30:00-05:00,MLTrader,4349286e2eca47cd8b435d76c89f3e98,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-07 09:30:00-05:00,MLTrader,4349286e2eca47cd8b435d76c89f3e98,GOOG,sell,market,fill,1,gtc,0.0,1,stock,131.97999572753906,7.241861165009085e+25,0.0
2023-11-08 09:30:00-05:00,MLTrader,08d981dbc7b64a6898e35f991c072e92,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-08 09:30:00-05:00,MLTrader,08d981dbc7b64a6898e35f991c072e92,GOOG,sell,market,fill,1,gtc,0.0,1,stock,132.36000061035156,9.387390764376855e+25,0.0
2023-11-09 09:30:00-05:00,MLTrader,523667b1deda4d3fb6a4f0788e383d09,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-09 09:30:00-05:00,MLTrader,523667b1deda4d3fb6a4f0788e383d09,GOOG,sell,market,fill,1,gtc,0.0,1,stock,133.36000061035156,1.2112099235907687e+26,0.0
2023-11-10 09:30:00-05:00,MLTrader,5e38918a8bdd4375a9a1d34f7627e70e,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-10 09:30:00-05:00,MLTrader,5e38918a8bdd4375a9a1d34f7627e70e,GOOG,sell,market,fill,1,gtc,0.0,1,stock,131.52999877929688,1.5964802322128476e+26,0.0
2023-11-13 09:30:00-05:00,MLTrader,6edd40df95e240e0ade223f7c572e8ec,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,6edd40df95e240e0ade223f7c572e8ec,GOOG,sell,market,fill,1,gtc,0.0,1,stock,133.36000061035156,2.0469447708683992e+26,0.0
