time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-12 09:30:00-05:00,MLTrader,6f647eb7c6524d51b18a4e6c4aa9910e,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-12 09:30:00-05:00,MLTrader,6f647eb7c6524d51b18a4e6c4aa9910e,GOOG,sell,market,fill,1,gtc,0.0,1,stock,92.4000015258789,541.0,0.0
2023-01-13 09:30:00-05:00,MLTrader,cea4ca4eb08f4522b072db632bc868e9,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,MLTrader,cea4ca4eb08f4522b072db632bc868e9,GOOG,sell,market,fill,1,gtc,0.0,1,stock,91.52799987792969,819.0,0.0
2023-01-20 09:30:00-05:00,MLTrader,d2ade670e48c425bb9693fa040624c7b,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,MLTrader,d9508faea7f440f598033394dafb3b8b,GOOG,buy,stop,fill,1,day,0.0,1,stock,97.02000160217285,541.0,0.0
2023-01-20 09:30:00-05:00,MLTrader,e4f8f8ba200044ffa205073b0865fdb5,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,MLTrader,b6a949b7f0f64b679e673feb18f0a5ce,GOOG,buy,stop,fill,1,day,0.0,1,stock,96.10439987182617,819.0,0.0
2023-01-25 09:30:00-05:00,MLTrader,4854933b681f411d97b199cf7551edf3,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-25 09:30:00-05:00,MLTrader,4854933b681f411d97b199cf7551edf3,GOOG,sell,market,fill,1,gtc,0.0,1,stock,97.19999694824219,482.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,39db07ac42764dc3a55e4f78f7f13fd4,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,ede50bf782b74770aa202f21f1caa2c0,GOOG,buy,stop,fill,1,day,0.0,1,stock,102.0599967956543,482.0,0.0
2023-02-03 09:30:00-05:00,MLTrader,a3bdd654e5d84005a68132ac55622c20,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 09:30:00-05:00,MLTrader,a3bdd654e5d84005a68132ac55622c20,GOOG,sell,market,fill,1,gtc,0.0,1,stock,103.51000213623047,442.0,0.0
2023-02-09 09:30:00-05:00,MLTrader,ae299187b64843199c75e2ce693af17b,GOOG,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-02-09 09:30:00-05:00,MLTrader,6280c1b4216c4eb7bef54b3d628c8b43,GOOG,buy,limit,fill,1,day,0.0,1,stock,98.33450202941894,442.0,0.0
2023-04-04 09:30:00-04:00,MLTrader,88eb40d30b62462e96b8efe491220cb8,GOOG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-04 09:30:00-04:00,MLTrader,88eb40d30b62462e96b8efe491220cb8,GOOG,buy,market,fill,1,gtc,0.0,1,stock,106.12000274658203,441.0,0.0
2023-04-26 09:30:00-04:00,MLTrader,18debe0f9cc746f2836114df62acf5d8,GOOG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-26 09:30:00-04:00,MLTrader,18debe0f9cc746f2836114df62acf5d8,GOOG,buy,market,fill,1,gtc,0.0,1,stock,105.2300033569336,223.0,0.0
2023-05-08 08:30:00-04:00,MLTrader,6f6cb451e35e46818a38cb8a348b88eb,GOOG,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-05-08 08:30:00-04:00,MLTrader,7545d0fc938940b8b145aa3111018fd9,GOOG,sell,limit,fill,1,day,0.0,1,stock,110.49150352478028,223.0,0.0
2023-05-09 09:30:00-04:00,MLTrader,dde621828319429fb5e4401245c21335,GOOG,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-05-09 09:30:00-04:00,MLTrader,0f7b9708fd97461989b4dd989c9698bb,GOOG,sell,limit,fill,1,day,0.0,1,stock,111.42600288391114,441.0,0.0
2023-10-26 09:30:00-04:00,MLTrader,3094ba4addfa43af8aeb65c002e6f020,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-26 09:30:00-04:00,MLTrader,3094ba4addfa43af8aeb65c002e6f020,GOOG,sell,market,fill,1,gtc,0.0,1,stock,124.02999877929688,392.0,0.0
2023-10-27 09:30:00-04:00,MLTrader,a344425286d84c9aacc0264db8f950f6,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-27 09:30:00-04:00,MLTrader,a344425286d84c9aacc0264db8f950f6,GOOG,sell,market,fill,1,gtc,0.0,1,stock,124.02999877929688,588.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,64a0f2a5ad1c4191a6a9bdc2ad2b918e,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,75af1682695040cbbbb7ea5b2d3b937b,GOOG,buy,stop,fill,1,day,0.0,1,stock,130.23149871826172,392.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,25bf8382f28f4910831f8701eea671c3,GOOG,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,337eaa57b4d34b608bd8d6674916b742,GOOG,buy,stop,fill,1,day,0.0,1,stock,130.23149871826172,588.0,0.0
2023-11-28 09:30:00-05:00,MLTrader,c9f88170572c425294ab3335604cd433,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-28 09:30:00-05:00,MLTrader,c9f88170572c425294ab3335604cd433,GOOG,sell,market,fill,1,gtc,0.0,1,stock,137.6300048828125,331.0,0.0
2023-12-04 08:30:00-05:00,MLTrader,14e3e70f0e9f4b2bafbccbe96309c26e,GOOG,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-12-04 08:30:00-05:00,MLTrader,60b7e24ee5a249809957bb0a03ab9ba9,GOOG,buy,limit,fill,1,day,0.0,1,stock,130.74850463867188,331.0,0.0
