Fichier,Moyenne_Sentiment,Label_Moyen,Moyenne_Score_Confiance
datas/articles/articles_Airbus_2010-01.csv,-0.19047619047619047,Negative+,0.9285039334070115
datas/articles/articles_Airbus_2010-01_resultats_analyse_sentiment.csv,-0.19047619047619047,Negative+,0.9285039334070115
datas/articles/articles_Airbus_2010-02.csv,-0.1875,Negative+,0.9161450192332268
datas/articles/articles_Airbus_2010-02_resultats_analyse_sentiment.csv,-0.1875,Negative+,0.9161450192332268
datas/articles/articles_Airbus_2010-03.csv,0.07142857142857142,Positif-,0.9746094260896955
datas/articles/articles_Airbus_2010-03_resultats_analyse_sentiment.csv,0.07142857142857142,Positif-,0.9746094260896955
datas/articles/articles_Airbus_2010-04.csv,-0.07142857142857142,Negative+,0.9786822625568935
datas/articles/articles_Airbus_2010-04_resultats_analyse_sentiment.csv,-0.07142857142857142,Negative+,0.9786822625568935
datas/articles/articles_Airbus_2010-05.csv,-0.09090909090909091,Negative+,0.9785350236025724
datas/articles/articles_Airbus_2010-05_resultats_analyse_sentiment.csv,-0.09090909090909091,Negative+,0.9785350236025724
datas/articles/articles_Airbus_2010-06.csv,0.18181818181818182,Positif-,0.9570311091162942
datas/articles/articles_Airbus_2010-06_resultats_analyse_sentiment.csv,0.18181818181818182,Positif-,0.9570311091162942
datas/articles/articles_Airbus_2010-07.csv,-0.09523809523809523,Negative+,0.8893578151861826
datas/articles/articles_Airbus_2010-07_resultats_analyse_sentiment.csv,-0.09523809523809523,Negative+,0.8893578151861826
datas/articles/articles_Airbus_2010-08.csv,0.0,Neutre,0.973770661013467
datas/articles/articles_Airbus_2010-08_resultats_analyse_sentiment.csv,0.0,Neutre,0.973770661013467
datas/articles/articles_Airbus_2010-09.csv,0.0,Neutre,0.985229206085205
datas/articles/articles_Airbus_2010-09_resultats_analyse_sentiment.csv,0.0,Neutre,0.985229206085205
datas/articles/articles_Airbus_2010-10.csv,0.1111111111111111,Positif-,0.9981398847368028
datas/articles/articles_Airbus_2010-10_resultats_analyse_sentiment.csv,0.1111111111111111,Positif-,0.9981398847368028
datas/articles/articles_Airbus_2010-11.csv,-0.4634146341463415,Negative,0.8784658545401038
datas/articles/articles_Airbus_2010-11_resultats_analyse_sentiment.csv,-0.4634146341463415,Negative,0.8784658545401038
datas/articles/articles_Airbus_2010-12.csv,0.14285714285714285,Positif-,0.9389278931277139
datas/articles/articles_Airbus_2010-12_resultats_analyse_sentiment.csv,0.14285714285714285,Positif-,0.9389278931277139
datas/articles/articles_Airbus_2011-01.csv,0.2,Positif-,0.9253355085849762
datas/articles/articles_Airbus_2011-01_resultats_analyse_sentiment.csv,0.2,Positif-,0.9253355085849762
datas/articles/articles_Airbus_2011-02.csv,0.16666666666666666,Positif-,0.968337701426612
datas/articles/articles_Airbus_2011-02_resultats_analyse_sentiment.csv,0.16666666666666666,Positif-,0.968337701426612
datas/articles/articles_Airbus_2011-03.csv,0.13333333333333333,Positif-,0.9572901884714763
datas/articles/articles_Airbus_2011-03_resultats_analyse_sentiment.csv,0.13333333333333333,Positif-,0.9572901884714763
datas/articles/articles_Airbus_2011-04.csv,0.125,Positif-,0.9667861436804136
datas/articles/articles_Airbus_2011-04_resultats_analyse_sentiment.csv,0.125,Positif-,0.9667861436804136
datas/articles/articles_Airbus_2011-05.csv,0.03225806451612903,Positif-,0.965122519000884
datas/articles/articles_Airbus_2011-05_resultats_analyse_sentiment.csv,0.03225806451612903,Positif-,0.965122519000884
datas/articles/articles_Airbus_2011-06.csv,0.125,Positif-,0.9267085716128349
