,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change,Moyenne_Sentiment,Label_Moyen,Moyenne_Score_Confiance
2010-01-01,AIRBUS SE,5.988497734069824,6.347806453704834,6.826885934362927,5.988497734069824,2010-01-21 00:00:00+01:00,2010-01-04 00:00:00+01:00,5.99998088987872,-0.1904761904761904,Negative+,0.9285039334070117
2010-02-01,AIRBUS SE,6.541280639878882,6.670262813568115,6.955870151519775,6.241857895268182,2010-02-23 00:00:00+01:00,2010-02-16 00:00:00+01:00,5.079807681834447,-0.1875,Negative+,0.9161450192332268
2010-03-01,AIRBUS SE,6.958171641301545,6.87755823135376,7.441858959137097,6.647231578826904,2010-03-08 00:00:00+01:00,2010-03-18 00:00:00+01:00,3.107754875324864,0.0714285714285714,Positif-,0.9746094260896956
2010-04-01,AIRBUS SE,7.006542205810547,6.52515983581543,7.006542205810547,6.398479461669922,2010-04-01 00:00:00+02:00,2010-04-29 00:00:00+02:00,-5.123888212706051,-0.0714285714285714,Negative+,0.9786822625568936
2010-05-01,AIRBUS SE,6.439938819695467,7.446466445922852,7.715950247704717,6.2188239097595215,2010-05-19 00:00:00+02:00,2010-05-07 00:00:00+02:00,14.119295669211596,-0.0909090909090909,Negative+,0.9785350236025724
2010-06-01,AIRBUS SE,7.481014251708984,7.833415508270264,8.43917465209961,7.273720835052183,2010-06-15 00:00:00+02:00,2010-06-07 00:00:00+02:00,5.1964118170340745,0.1818181818181818,Positif-,0.9570311091162942
2010-07-01,AIRBUS SE,7.633029937744141,8.406928062438965,8.406928062438965,7.255294322967529,2010-07-30 00:00:00+02:00,2010-07-05 00:00:00+02:00,7.321360057604576,-0.0952380952380952,Negative+,0.8893578151861826
2010-08-01,AIRBUS SE,8.351647920615559,7.8449320793151855,8.625738384357494,7.8449320793151855,2010-08-09 00:00:00+02:00,2010-08-31 00:00:00+02:00,-6.684914857719582,0.0,Neutre,0.973770661013467
2010-09-01,AIRBUS SE,7.976217746734619,8.519790649414062,9.051841735839844,7.976217746734619,2010-09-21 00:00:00+02:00,2010-09-01 00:00:00+02:00,8.602478176685358,0.0,Neutre,0.985229206085205
2010-10-01,AIRBUS SE,8.40462881157314,8.549731254577637,8.614222939861065,8.109807968139648,2010-10-22 00:00:00+02:00,2010-10-18 00:00:00+02:00,0.3514241886405145,0.1111111111111111,Positif-,0.9981398847368028
2010-11-01,AIRBUS SE,8.67640817940992,7.960094451904297,8.858367713145476,7.65836763381958,2010-11-03 00:00:00+01:00,2010-11-24 00:00:00+01:00,-6.896553647316583,-0.4634146341463415,Negative,0.8784658545401038
2010-12-01,AIRBUS SE,7.927848815917969,8.271035194396973,8.492148370462681,7.927848815917969,2010-12-09 00:00:00+01:00,2010-12-01 00:00:00+01:00,3.906244384051116,0.1428571428571428,Positif-,0.938927893127714
2011-01-01,AIRBUS SE,8.125930786132812,9.97775650024414,9.97775650024414,8.125930786132812,2011-01-31 00:00:00+01:00,2011-01-03 00:00:00+01:00,20.634917706593093,0.2,Positif-,0.9253355085849762
2011-02-01,AIRBUS SE,9.673726081848145,9.49407196044922,10.22190520877943,9.21307261397199,2011-02-17 00:00:00+01:00,2011-02-25 00:00:00+01:00,-4.847628219661271,0.1666666666666666,Positif-,0.968337701426612
2011-03-01,AIRBUS SE,9.632268505792942,9.540133476257324,9.772768020629885,8.628042221069336,2011-03-01 00:00:00+01:00,2011-03-17 00:00:00+01:00,0.485160803499185,0.1333333333333333,Positif-,0.9572901884714764
2011-04-01,AIRBUS SE,9.438793182373049,9.708274841308594,9.848774909973145,9.438793182373049,2011-04-27 00:00:00+02:00,2011-04-01 00:00:00+02:00,1.7624634442455769,0.125,Positif-,0.9667861436804136
2011-05-01,AIRBUS SE,9.600020408630373,13.259424209594728,13.552771290467096,9.374300956726074,2011-05-20 00:00:00+02:00,2011-05-06 00:00:00+02:00,36.57858297517531,0.032258064516129,Positif-,0.965122519000884
2011-06-01,AIRBUS SE,13.526030540466309,13.705436706542969,13.705436706542969,12.607207298278809,2011-06-30 00:00:00+02:00,2011-06-13 00:00:00+02:00,3.363739555338308,0.125,Positif-,0.9267085716128348
2011-07-01,AIRBUS SE,13.783243797196612,14.366768836975098,15.040073394775392,13.741345405578612,2011-07-25 00:00:00+02:00,2011-07-04 00:00:00+02:00,4.825326945739783,0.2692307692307692,Positif-,0.9782840884648836
2011-08-01,AIRBUS SE,14.657036781311035,13.22963523864746,14.657036781311035,11.353368076178468,2011-08-01 00:00:00+02:00,2011-08-09 00:00:00+02:00,-7.91502676232284,0.2,Positif-,0.9795718491077424
2011-09-01,AIRBUS SE,13.187745469111707,12.89148998260498,13.672520637512209,12.0296630859375,2011-09-21 00:00:00+02:00,2011-09-23 00:00:00+02:00,-2.5559680969484577,0.1,Positif-,0.9577500104904176
2011-10-01,AIRBUS SE,12.469552993774414,12.61917781829834,13.849074363708496,11.838147163391112,2011-10-17 00:00:00+02:00,2011-10-05 00:00:00+02:00,-2.1123405027198783,0.1818181818181818,Positif-,0.940522475676103
2011-11-01,AIRBUS SE,12.571298599243164,12.667058944702148,13.58872890472412,11.92193770386562,2011-11-14 00:00:00+01:00,2011-11-10 00:00:00+01:00,0.3794314264625065,0.3333333333333333,Positif,0.9840555323494804
2011-12-01,AIRBUS SE,13.310435295104982,14.33085823059082,14.339839935302734,12.89148998260498,2011-12-29 00:00:00+01:00,2011-12-09 00:00:00+01:00,13.134850742796434,0.0,Neutre,0.8980043530464172
2012-01-01,AIRBUS SE,14.396696673763897,15.321364402770996,15.59068489074707,14.396696673763897,2012-01-25 00:00:00+01:00,2012-01-02 00:00:00+01:00,6.911701701617767,0.0384615384615384,Positif-,0.9381889357016636
2012-02-01,AIRBUS SE,15.300416946411136,16.30289077758789,16.34178924560547,15.300416946411136,2012-02-24 00:00:00+01:00,2012-02-01 00:00:00+01:00,6.406259579854234,-0.08,Negative+,0.9302185773849488
2012-03-01,AIRBUS SE,16.225083179593042,18.20009994506836,18.711812093539223,15.653524398803713,2012-03-19 00:00:00+01:00,2012-03-06 00:00:00+01:00,11.637256198076384,-0.05,Negative+,0.9296265751123428
2012-04-01,AIRBUS SE,18.379653930664062,17.826045989990234,18.538249969482425,17.565704345703125,2012-04-16 00:00:00+02:00,2012-04-24 00:00:00+02:00,-2.0552302251476418,0.1052631578947368,Positif-,0.9019372620080648
2012-05-01,AIRBUS SE,17.8200626373291,17.671855926513672,18.96148109436035,16.81459617614746,2012-05-16 00:00:00+02:00,2012-05-07 00:00:00+02:00,-0.864970636579443,0.0526315789473684,Positif-,0.929907036455054
2012-06-01,AIRBUS SE,17.94147300720215,18.3646240234375,18.48310089111328,17.1798095703125,2012-06-11 00:00:00+02:00,2012-06-04 00:00:00+02:00,3.920177370190325,-0.1,Negative+,0.9509403556585312
2012-07-01,AIRBUS SE,18.84870719909668,20.16554069519043,20.24678611755371,18.178438186645508,2012-07-30 00:00:00+02:00,2012-07-13 00:00:00+02:00,9.80644455042774,0.1891891891891892,Positif-,0.9336468867353492
2012-08-01,AIRBUS SE,19.722083288410403,20.344955444335938,21.082926287097365,19.722083288410403,2012-08-06 00:00:00+02:00,2012-08-01 00:00:00+02:00,0.8897095885373352,0.1111111111111111,Positif-,0.967169913980696
