Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2016-11,Gapwaves AB B,8.684597969055176,14.26408863067627,18.048439025878906,6.792422771453857,2016-11-28 00:00:00+01:00,2016-11-18 00:00:00+01:00,
2016-12,Gapwaves AB B,14.26408863067627,14.215572357177734,17.951404571533203,12.517465591430664,2016-12-13 00:00:00+01:00,2016-12-02 00:00:00+01:00,-0.34012880005663826
2017-01,Gapwaves AB B,14.458157539367676,13.584847450256348,14.943330764770508,13.196707725524902,2017-01-09 00:00:00+01:00,2017-01-18 00:00:00+01:00,-4.436859037919216
2017-02,Gapwaves AB B,13.827432632446289,11.741189002990723,14.021501541137695,10.867877006530762,2017-02-02 00:00:00+01:00,2017-02-14 00:00:00+01:00,-13.571432833651986
2017-03,Gapwaves AB B,11.644153594970703,9.557909965515137,12.226362228393555,9.218289375305176,2017-03-09 00:00:00+01:00,2017-03-15 00:00:00+01:00,-18.595042094284143
2017-04,Gapwaves AB B,9.557909965515137,9.703461647033691,10.043083190917969,8.92718505859375,2017-04-03 00:00:00+02:00,2017-04-20 00:00:00+02:00,1.522840056494612
2017-05,Gapwaves AB B,10.09160041809082,12.711535453796387,15.719608306884766,9.460874557495117,2017-05-19 00:00:00+02:00,2017-05-05 00:00:00+02:00,31.000007174576204
2017-06,Gapwaves AB B,12.760051727294922,13.148191452026367,14.846297264099121,12.37191390991211,2017-06-30 00:00:00+02:00,2017-06-01 00:00:00+02:00,3.4351160787548407
2017-07,Gapwaves AB B,13.196707725524902,13.245224952697754,13.681880950927734,12.323395729064941,2017-07-13 00:00:00+02:00,2017-07-19 00:00:00+02:00,0.737998842087384
2017-08,Gapwaves AB B,13.245224952697754,13.390776634216309,13.87594985961914,12.711535453796387,2017-08-07 00:00:00+02:00,2017-08-14 00:00:00+02:00,1.0988992790863072
2017-09,Gapwaves AB B,13.778916358947754,36.97018814086914,46.28551483154297,13.148191452026367,2017-09-25 00:00:00+02:00,2017-09-04 00:00:00+02:00,176.08696008267643
2017-10,Gapwaves AB B,37.843502044677734,40.07529830932617,55.30973434448242,36.38798141479492,2017-10-10 00:00:00+02:00,2017-10-26 00:00:00+02:00,8.398956901775811
2017-11,Gapwaves AB B,39.881229400634766,47.74103546142578,55.79490661621094,37.74646759033203,2017-11-23 00:00:00+01:00,2017-11-20 00:00:00+01:00,19.12833459886103
2017-12,Gapwaves AB B,47.74103546142578,38.910884857177734,50.458003997802734,36.485015869140625,2017-12-01 00:00:00+01:00,2017-12-28 00:00:00+01:00,-18.495934407167837
2018-01,Gapwaves AB B,38.910884857177734,32.749183654785156,40.65750503540039,27.65486717224121,2018-01-25 00:00:00+01:00,2018-01-16 00:00:00+01:00,-15.835417840044197
