Month,Asset Name,Open,Close,High,Low,Volume,Dividends,Splits,Date of High,Date of Low,Percent Change,PE Ratio,Beta
1991-01,BOUYGUES,0.445012241601944,0.5081886649131775,0.5186023777056014,0.43321003928916035,55938500,,,1991-01-17 00:00:00+01:00,1991-01-15 00:00:00+01:00,,13.036101,0.865
1991-02,BOUYGUES,0.5123542277842269,0.6854283213615417,0.6898887695212389,0.5123542277842269,89089800,,,1991-02-28 00:00:00+01:00,1991-02-01 00:00:00+01:00,34.87674336039059,13.036101,0.865
1991-03,BOUYGUES,0.6846848980998346,0.6475139856338501,0.7211121558822491,0.6348759771309561,66710000,,,1991-03-06 00:00:00+01:00,1991-03-26 00:00:00+01:00,-5.531480761165253,13.036101,0.865
1991-04,BOUYGUES,0.6475139856338501,0.6118301749229431,0.6943491457581805,0.594731673345091,37935000,,,1991-04-05 00:00:00+02:00,1991-04-30 00:00:00+02:00,-5.510894205007199,13.036101,0.865
1991-05,BOUYGUES,0.6118301749229431,0.6943491697311401,0.6943491697311402,0.6118300163773678,39931100,,,1991-05-31 00:00:00+02:00,1991-05-02 00:00:00+02:00,13.487238483879915,13.036101,0.865
1991-06,BOUYGUES,0.695836124028553,0.6371062994003296,0.7017834358742847,0.6229814529760377,58068300,,,1991-06-03 00:00:00+02:00,1991-06-28 00:00:00+02:00,-8.244104382378048,13.036101,0.865
1991-07,BOUYGUES,0.6400801851626056,0.7138709425926208,0.7306281924247741,0.5850671585067823,54535000,,,1991-07-26 00:00:00+02:00,1991-07-17 00:00:00+02:00,12.04895372476229,13.036101,0.865
1991-08,BOUYGUES,0.7188978371408916,0.729790210723877,0.739844741675605,0.6217041005188818,67005000,,,1991-08-29 00:00:00+02:00,1991-08-19 00:00:00+02:00,2.2299924512182656,13.036101,0.865
1991-09,BOUYGUES,0.7239251276686144,0.7591161131858826,0.782576553735497,0.6996265821960096,70271200,,,1991-09-17 00:00:00+02:00,1991-09-05 00:00:00+02:00,4.018401731220456,13.036101,0.865
1991-10,BOUYGUES,0.7599540347871738,0.7406826019287109,0.7691707283349615,0.7289523153035556,34082700,,,1991-10-03 00:00:00+01:00,1991-10-28 00:00:00+01:00,-2.428286126059065,13.036101,0.865
1991-11,BOUYGUES,0.7406826019287109,0.6644359827041626,0.7507370114326477,0.6594087290085884,47225200,,,1991-11-08 00:00:00+01:00,1991-11-29 00:00:00+01:00,-10.294101552541512,13.036101,0.865
1991-12,BOUYGUES,0.656895227229902,0.6602466106414795,0.6820314161480998,0.6082984665813597,45429800,,,1991-12-31 00:00:00+01:00,1991-12-23 00:00:00+01:00,-0.6305155307262167,13.036101,0.865
1992-01,BOUYGUES,0.6602466106414795,0.7754773497581482,0.8003495378218256,0.6501921034629132,39425500,,,1992-01-31 00:00:00+01:00,1992-01-03 00:00:00+01:00,17.452681658556845,13.036101,0.865
1992-02,BOUYGUES,0.7745890696340051,0.8030143976211548,0.8385461690829363,0.7434988193498542,52752000,,,1992-02-27 00:00:00+01:00,1992-02-17 00:00:00+01:00,3.550980292537842,13.036101,0.865
1992-03,BOUYGUES,0.8003495394891723,0.8216681480407715,0.8296627706029638,0.7816954655902224,40250900,,,1992-03-31 00:00:00+02:00,1992-03-24 00:00:00+01:00,2.3229658739465364,13.036101,0.865
1992-04,BOUYGUES,0.8207800811143331,0.8758540749549866,0.8856253210177293,0.7950197349677519,60155000,,,1992-04-30 00:00:00+02:00,1992-04-08 00:00:00+02:00,6.594624246226277,13.036101,0.865
1992-05,BOUYGUES,0.8758540749549866,0.8394345045089722,0.9184920354251633,0.8296633395182078,54613000,,,1992-05-13 00:00:00+02:00,1992-05-29 00:00:00+02:00,-4.158177884584957,13.036101,0.865
