Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-01,Thematics Europe Sélection NC,100.02999877929688,99.7699966430664,101.48999786376953,99.62000274658203,2018-01-09 00:00:00+01:00,2018-01-30 00:00:00+01:00,
2018-02,Thematics Europe Sélection NC,99.56999969482422,96.22000122070312,99.56999969482422,93.93000030517578,2018-02-01 00:00:00+01:00,2018-02-09 00:00:00+01:00,-3.5581793543239426
2018-03,Thematics Europe Sélection NC,95.22000122070312,95.3499984741211,97.13999938964844,93.30999755859375,2018-03-12 00:00:00+01:00,2018-03-26 00:00:00+02:00,-0.9041807685976622
2018-04,Thematics Europe Sélection NC,94.75,97.01000213623047,97.01000213623047,94.58999633789062,2018-04-30 00:00:00+02:00,2018-04-24 00:00:00+02:00,1.7409582471675789
2018-05,Thematics Europe Sélection NC,96.44000244140625,98.70999908447266,100.33000183105469,96.27999877929688,2018-05-28 00:00:00+02:00,2018-05-03 00:00:00+02:00,1.7523934757313953
2018-06,Thematics Europe Sélection NC,98.87999725341797,98.44000244140625,100.48999786376953,97.66999816894531,2018-06-15 00:00:00+02:00,2018-06-07 00:00:00+02:00,-0.2735251196136157
2018-07,Thematics Europe Sélection NC,98.29000091552734,101.43000030517578,102.01000213623047,98.29000091552734,2018-07-27 00:00:00+02:00,2018-07-02 00:00:00+02:00,3.0373809321563527
2018-08,Thematics Europe Sélection NC,101.5,99.97000122070312,102.12000274658203,99.97000122070312,2018-08-03 00:00:00+02:00,2018-08-31 00:00:00+02:00,-1.439415439297953
2018-09,Thematics Europe Sélection NC,99.83000183105469,98.0,99.83000183105469,96.43000030517578,2018-09-03 00:00:00+02:00,2018-09-19 00:00:00+02:00,-1.970592374360347
2018-10,Thematics Europe Sélection NC,98.30999755859375,93.55999755859375,98.30999755859375,91.33000183105469,2018-10-01 00:00:00+02:00,2018-10-12 00:00:00+02:00,-4.530614736128824
2018-11,Thematics Europe Sélection NC,94.22000122070312,93.9000015258789,95.54000091552734,92.45999908447266,2018-11-09 00:00:00+01:00,2018-11-20 00:00:00+01:00,0.3634074135927756
2018-12,Thematics Europe Sélection NC,93.93000030517578,86.68000030517578,93.93000030517578,85.63999938964844,2018-12-03 00:00:00+01:00,2018-12-27 00:00:00+01:00,-7.6890320589752985
2019-01,Thematics Europe Sélection NC,87.02999877929688,92.12000274658203,92.12000274658203,86.5199966430664,2019-01-31 00:00:00+01:00,2019-01-03 00:00:00+01:00,6.275960339471087
2019-02,Thematics Europe Sélection NC,92.4000015258789,95.37000274658203,96.27999877929688,92.4000015258789,2019-02-21 00:00:00+01:00,2019-02-01 00:00:00+01:00,3.5280068422713917
2019-03,Thematics Europe Sélection NC,96.44999694824219,99.83000183105469,99.83000183105469,96.44999694824219,2019-03-29 00:00:00+01:00,2019-03-01 00:00:00+01:00,4.676521920969012
2019-04,Thematics Europe Sélection NC,99.9000015258789,102.62999725341797,102.62999725341797,99.58000183105469,2019-04-30 00:00:00+02:00,2019-04-09 00:00:00+02:00,2.8047634689036594
2019-05,Thematics Europe Sélection NC,101.79000091552734,99.23999786376953,102.33000183105469,99.23999786376953,2019-05-03 00:00:00+02:00,2019-05-13 00:00:00+02:00,-3.3031272341143336
2019-06,Thematics Europe Sélection NC,99.69999694824219,102.05999755859375,102.94999694824219,99.54000091552734,2019-06-18 00:00:00+02:00,2019-06-04 00:00:00+02:00,2.8415958842475275
2019-07,Thematics Europe Sélection NC,102.44999694824219,104.75,105.91000366210938,102.44999694824219,2019-07-29 00:00:00+02:00,2019-07-01 00:00:00+02:00,2.6357069427342283
2019-08,Thematics Europe Sélection NC,105.97000122070312,106.43000030517578,106.43000030517578,100.9800033569336,2019-08-30 00:00:00+02:00,2019-08-06 00:00:00+02:00,1.6038189070890496
2019-09,Thematics Europe Sélection NC,106.94999694824219,106.41999816894531,107.66999816894531,105.0,2019-09-06 00:00:00+02:00,2019-09-16 00:00:00+02:00,-0.009397854178139209
2019-10,Thematics Europe Sélection NC,105.08999633789062,103.06999969482422,105.08999633789062,102.0,2019-10-01 00:00:00+02:00,2019-10-28 00:00:00+01:00,-3.147903149559217
2019-11,Thematics Europe Sélection NC,102.9000015258789,104.76000213623047,104.93000030517578,102.9000015258789,2019-11-27 00:00:00+01:00,2019-11-04 00:00:00+01:00,1.6396647389251173
2019-12,Thematics Europe Sélection NC,103.23999786376953,106.58000183105469,107.37000274658203,102.79000091552734,2019-12-27 00:00:00+01:00,2019-12-03 00:00:00+01:00,1.7373039878879393
2020-01,Thematics Europe Sélection NC,106.86000061035156,105.55000305175781,108.9800033569336,105.55000305175781,2020-01-17 00:00:00+01:00,2020-01-31 00:00:00+01:00,-0.9664090463514685
2020-02,Thematics Europe Sélection NC,105.91999816894531,96.73999786376953,110.27999877929688,96.73999786376953,2020-02-19 00:00:00+01:00,2020-02-28 00:00:00+01:00,-8.34675976623912
2020-03,Thematics Europe Sélection NC,97.33999633789062,88.05000305175781,100.0999984741211,79.23999786376953,2020-03-04 00:00:00+01:00,2020-03-16 00:00:00+01:00,-8.982835439224502
2020-04,Thematics Europe Sélection NC,86.30000305175781,92.19999694824219,93.25,86.27999877929688,2020-04-29 00:00:00+02:00,2020-04-02 00:00:00+02:00,4.713224023450535
2020-05,Thematics Europe Sélection NC,89.4000015258789,93.66000366210938,94.19999694824219,88.76000213623047,2020-05-28 00:00:00+02:00,2020-05-14 00:00:00+02:00,1.5835214340481851
2020-06,Thematics Europe Sélection NC,94.79000091552734,94.66000366210938,96.3499984741211,92.33999633789062,2020-06-03 00:00:00+02:00,2020-06-15 00:00:00+02:00,1.0676916089045196
2020-07,Thematics Europe Sélection NC,94.69000244140625,94.12000274658203,97.12999725341797,94.12000274658203,2020-07-15 00:00:00+02:00,2020-07-31 00:00:00+02:00,-0.5704636537464003
2020-08,Thematics Europe Sélection NC,94.94000244140625,95.61000061035156,97.20999908447266,94.19999694824219,2020-08-26 00:00:00+02:00,2020-08-10 00:00:00+02:00,1.5830831069792328
2020-09,Thematics Europe Sélection NC,95.47000122070312,96.7300033569336,97.7699966430664,94.80999755859375,2020-09-16 00:00:00+02:00,2020-09-21 00:00:00+02:00,1.1714284483131499
2020-10,Thematics Europe Sélection NC,97.36000061035156,92.37000274658203,98.87999725341797,92.37000274658203,2020-10-12 00:00:00+02:00,2020-10-30 00:00:00+01:00,-4.507392183439885
2020-11,Thematics Europe Sélection NC,93.30999755859375,99.4800033569336,100.44000244140625,93.30999755859375,2020-11-16 00:00:00+01:00,2020-11-02 00:00:00+01:00,7.69730475147643
2020-12,Thematics Europe Sélection NC,99.27999877929688,103.56999969482422,103.83999633789062,98.88999938964844,2020-12-29 00:00:00+01:00,2020-12-03 00:00:00+01:00,4.111375351703339
2021-01,Thematics Europe Sélection NC,104.04000091552734,99.70999908447266,104.04000091552734,99.70999908447266,2021-01-04 00:00:00+01:00,2021-01-29 00:00:00+01:00,-3.7269485581976514
2021-02,Thematics Europe Sélection NC,100.81999969482422,98.0999984741211,103.87000274658203,98.0999984741211,2021-02-15 00:00:00+01:00,2021-02-26 00:00:00+01:00,-1.6146832064330874
2021-03,Thematics Europe Sélection NC,99.66000366210938,102.47000122070312,102.66999816894531,98.7699966430664,2021-03-30 00:00:00+02:00,2021-03-05 00:00:00+01:00,4.454640993429626
2021-04,Thematics Europe Sélection NC,103.26000213623047,107.47000122070312,108.4000015258789,103.26000213623047,2021-04-22 00:00:00+02:00,2021-04-01 00:00:00+02:00,4.879476861946008
2021-05,Thematics Europe Sélection NC,108.06999969482422,110.91999816894531,111.16999816894531,106.76000213623047,2021-05-28 00:00:00+02:00,2021-05-11 00:00:00+02:00,3.2101953187449794
2021-06,Thematics Europe Sélection NC,111.29000091552734,114.45999908447266,115.16999816894531,111.29000091552734,2021-06-25 00:00:00+02:00,2021-06-01 00:00:00+02:00,3.1914902397811806
2021-07,Thematics Europe Sélection NC,115.08999633789062,116.33000183105469,117.1500015258789,113.61000061035156,2021-07-23 00:00:00+02:00,2021-07-19 00:00:00+02:00,1.6337609309274415
2021-08,Thematics Europe Sélection NC,117.37000274658203,116.0,118.22000122070312,115.86000061035156,2021-08-13 00:00:00+02:00,2021-08-26 00:00:00+02:00,-0.2836773195739717
2021-09,Thematics Europe Sélection NC,117.01000213623047,111.69999694824219,117.26000213623047,111.5199966430664,2021-09-02 00:00:00+02:00,2021-09-28 00:00:00+02:00,-3.7068991825498387
2021-10,Thematics Europe Sélection NC,111.77999877929688,115.69000244140625,115.93000030517578,111.3499984741211,2021-10-26 00:00:00+02:00,2021-10-04 00:00:00+02:00,3.5720730547672996
2021-11,Thematics Europe Sélection NC,117.36000061035156,116.61000061035156,122.48999786376953,116.61000061035156,2021-11-19 00:00:00+01:00,2021-11-30 00:00:00+01:00,0.7952270287238328
2021-12,Thematics Europe Sélection NC,117.45999908447266,120.41999816894531,120.41999816894531,115.80999755859375,2021-12-30 00:00:00+01:00,2021-12-03 00:00:00+01:00,3.2672991498599924
